1096,0,-19.0,1096
2192,1,-19.0,1096
2986,2,-21.0,794
3839,3,-21.0,853
4742,4,-21.0,903
5720,5,-20.0,978
6610,6,-20.0,890
7514,7,-20.0,904
8439,8,-21.0,925
9283,9,-21.0,844
10308,10,-20.0,1025
11326,11,-20.0,1018
